Año,Semana,Ceco,FHW
2026,1,38209,0.2%
2026,1,38317,2.7%
2026,1,38489,0.2%
2026,1,38589,3.8%
2026,1,38843,1.4%
2026,1,38872,4.1%
2026,1,38950,0.4%
2026,1,38989,3.9%
2026,1,43029,0.1%
2026,1,38101,0.6%
2026,1,38240,0.2%
2026,1,38272,1.1%
2026,1,38285,0.4%
2026,1,38291,1.0%
2026,1,38389,3.8%
2026,1,38404,6.2%
2026,1,38422,4.4%
2026,1,38433,1.7%
2026,1,38555,1.6%
2026,1,38613,14.4%
2026,1,38654,4.4%
2026,1,38681,5.8%
2026,1,38183,0.6%
2026,1,38387,4.1%
2026,1,38577,0.1%
2026,1,38721,0.5%
2026,1,38732,0.5%
2026,1,38736,0.1%
2026,1,38813,0.1%
2026,1,38821,0.2%
2026,1,38857,2.5%
2026,1,43008,4.7%
2026,1,43124,0.2%
2026,1,38344,8.9%
2026,1,38635,12.7%
2026,1,38858,2.6%
2026,1,38109,5.0%
2026,1,38173,0.5%
2026,1,38378,3.3%
2026,1,38423,1.5%
2026,1,38432,4.5%
2026,1,38440,1.5%
2026,1,38483,5.5%
2026,1,38498,1.9%
2026,1,38504,3.4%
2026,1,38554,0.3%
2026,1,38556,2.0%
2026,1,38558,7.5%
2026,1,38602,4.3%
2026,1,38658,1.8%
2026,1,38752,3.3%
2026,1,38850,4.6%
2026,1,38113,4.9%
2026,1,38139,5.9%
2026,1,38152,12.6%
2026,1,38208,8.0%
2026,1,38239,5.6%
2026,1,38365,4.2%
2026,1,38417,5.6%
2026,1,38430,2.8%
2026,1,38484,15.0%
2026,1,38585,5.6%
2026,1,38620,2.0%
2026,1,38663,10.7%
2026,1,43025,7.1%
2026,1,38111,2.8%
2026,1,38118,6.1%
2026,1,38194,9.5%
2026,1,38219,0.9%
2026,1,38349,14.7%
2026,1,38399,3.8%
2026,1,38405,1.6%
2026,1,38470,5.5%
2026,1,38557,2.9%
2026,1,38581,6.1%
2026,1,38600,0.1%
2026,1,38612,4.4%
2026,1,38676,6.3%
2026,1,38982,7.9%
2026,1,38107,2.0%
2026,1,38116,6.1%
2026,1,38124,5.3%
2026,1,38129,5.5%
2026,1,38169,5.6%
2026,1,38398,7.2%
2026,1,38428,12.7%
2026,1,38447,4.5%
2026,1,38544,4.1%
2026,1,38571,6.3%
2026,1,38580,3.8%
2026,1,38615,4.6%
2026,1,38691,9.7%
2026,1,38226,11.2%
2026,1,38279,0.1%
2026,1,38289,7.6%
2026,1,38418,0.8%
2026,1,38419,1.1%
2026,1,38468,0.6%
2026,1,38477,0.9%
2026,1,38496,5.1%
2026,1,38611,10.5%
2026,1,38645,0.2%
2026,1,38725,2.8%
2026,1,43070,7.3%
2026,1,38131,3.4%
2026,1,38172,4.9%
2026,1,38402,2.1%
2026,1,38406,0.4%
2026,1,38543,5.5%
2026,1,38560,2.0%
2026,1,38605,5.3%
2026,1,38625,12.6%
2026,1,38771,0.1%
2026,1,38784,2.5%
2026,1,38791,0.1%
2026,1,38806,3.7%
2026,1,38866,0.7%
2026,1,38133,0.2%
2026,1,38190,0.2%
2026,1,38192,0.0%
2026,1,38280,0.2%
2026,1,38634,0.0%
2026,1,38638,0.2%
2026,1,38804,0.1%
2026,1,38949,0.1%
2026,1,43069,0.3%
2026,1,43074,0.4%
2026,1,43166,0.3%
2026,1,38146,1.8%
2026,1,38157,0.3%
2026,1,38519,0.3%
2026,1,38698,0.9%
2026,1,38761,1.0%
2026,1,38819,1.2%
2026,1,38831,0.3%
2026,1,38840,3.2%
2026,1,38897,3.8%
2026,1,43009,2.3%
2026,1,38114,5.6%
2026,1,38360,10.8%
2026,1,38367,3.3%
2026,1,38379,0.7%
2026,1,38393,6.5%
2026,1,38469,3.6%
2026,1,38471,4.5%
2026,1,38472,9.0%
2026,1,38494,5.6%
2026,1,38637,1.0%
2026,1,38164,0.4%
2026,1,38222,0.6%
2026,1,38264,0.1%
2026,1,38599,0.8%
2026,1,38690,1.9%
2026,1,38731,0.1%
2026,1,38756,0.0%
2026,1,38787,0.2%
2026,1,38942,0.7%
2026,1,43100,2.5%
2026,1,38204,0.5%
2026,1,38359,0.9%
2026,1,38876,1.6%
2026,1,38917,4.6%
2026,1,43021,2.7%
2026,1,38217,0.6%
2026,1,38257,1.0%
2026,1,38516,0.2%
2026,1,38610,0.2%
2026,1,38993,1.1%
2026,1,43086,1.4%
2026,1,43146,0.7%
2026,1,38211,1.2%
2026,1,38214,5.7%
2026,1,38354,6.7%
2026,1,38370,3.1%
2026,1,38639,1.4%
2026,1,38711,0.4%
2026,1,38723,1.1%
2026,1,38889,0.1%
2026,1,38972,2.0%
2026,1,38990,8.7%
2026,1,43001,2.3%
2026,1,38134,2.8%
2026,1,38260,5.0%
2026,1,38340,9.4%
2026,1,38464,10.3%
2026,1,38482,5.8%
2026,1,38501,4.8%
2026,1,38513,1.9%
2026,1,38526,7.0%
2026,1,38569,4.5%
2026,1,38570,2.5%
2026,1,38579,10.1%
2026,1,38619,10.6%
2026,1,38888,2.0%
2026,1,38941,0.5%
2026,1,38296,0.6%
2026,1,38328,4.9%
2026,1,38435,0.8%
2026,1,38488,2.8%
2026,1,38712,2.3%
2026,1,38744,0.6%
2026,1,38805,0.2%
2026,1,38828,1.9%
2026,1,38928,1.0%
2026,1,38975,7.6%
2026,1,38408,2.3%
2026,1,38525,1.4%
2026,1,38738,0.2%
2026,1,38781,0.7%
2026,1,38839,2.0%
2026,1,38946,1.5%
2026,1,38966,3.8%
2026,1,38967,0.4%
2026,1,38267,3.6%
2026,1,38503,2.9%
2026,1,38760,0.2%
2026,1,38825,0.2%
2026,1,38842,2.2%
2026,1,38923,1.3%
2026,1,38979,0.6%
2026,1,38991,2.0%
2026,1,43190,0.9%
2026,1,38273,0.6%
2026,1,38275,0.1%
2026,1,38335,0.2%
2026,1,38454,0.3%
2026,1,38593,0.2%
2026,1,38921,0.1%
2026,1,38956,0.2%
2026,1,38983,1.0%
2026,1,43114,0.3%
2026,1,43115,1.3%
2026,1,43138,0.0%
2026,1,38436,0.1%
2026,1,38491,1.0%
2026,1,38782,4.2%
2026,1,38890,0.5%
2026,1,43010,1.5%
2026,1,38236,2.8%
2026,1,38309,3.6%
2026,1,38397,0.4%
2026,1,38413,0.5%
2026,1,38566,1.6%
2026,1,38614,0.3%
2026,1,38636,2.5%
2026,1,38648,1.7%
2026,1,38696,0.1%
2026,1,38838,4.0%
2026,1,43118,1.1%
2026,1,43137,1.7%
2026,1,38159,1.2%
2026,1,38338,0.1%
2026,1,38345,1.3%
2026,1,38479,5.1%
2026,1,38647,4.2%
2026,1,38868,0.6%
2026,1,38881,0.4%
2026,1,38931,0.9%
2026,1,38938,0.7%
2026,1,38969,0.5%
2026,1,38137,2.5%
2026,1,38143,5.5%
2026,1,38144,0.8%
2026,1,38153,5.1%
2026,1,38195,1.6%
2026,1,38229,10.4%
2026,1,38624,8.5%
2026,1,38640,3.7%
2026,1,38660,4.0%
2026,1,38994,12.1%
2026,1,43172,9.3%
2026,1,38210,1.1%
2026,1,38242,0.4%
2026,1,38288,2.3%
2026,1,38346,0.9%
2026,1,38381,0.3%
2026,1,38517,0.2%
2026,1,38523,1.6%
2026,1,38713,0.7%
2026,1,38863,0.2%
2026,1,38879,0.8%
2026,1,38162,7.4%
2026,1,38177,6.5%
2026,1,38213,0.8%
2026,1,38352,0.9%
2026,1,38356,2.3%
2026,1,38449,3.9%
2026,1,38542,2.0%
2026,1,38575,7.2%
2026,1,38588,6.7%
2026,1,38861,2.0%
2026,1,43046,3.0%
2026,1,43051,6.8%
2026,1,38409,2.4%
2026,1,38448,1.8%
2026,1,38486,0.8%
2026,1,38551,3.0%
2026,1,38583,0.1%
2026,1,38675,2.2%
2026,1,38702,0.4%
2026,1,38703,3.0%
2026,1,43057,0.4%
2026,1,43084,0.9%
2026,1,43148,0.8%
2026,1,38147,3.7%
2026,1,38163,1.7%
2026,1,38174,1.9%
2026,1,38407,1.4%
2026,1,38672,0.0%
2026,1,38699,0.1%
2026,1,38700,0.0%
2026,1,38733,0.3%
2026,1,38753,0.1%
2026,1,38754,0.1%
2026,1,43047,1.3%
2026,1,38121,8.1%
2026,1,38366,2.8%
2026,1,38386,0.5%
2026,1,38461,3.6%
2026,1,38538,16.3%
2026,1,38709,26.8%
2026,1,38717,15.9%
2026,1,38722,11.2%
2026,1,38727,7.8%
2026,1,43041,15.3%
2026,1,38103,7.5%
2026,1,38104,4.8%
2026,1,38106,5.9%
2026,1,38112,3.4%
2026,1,38188,6.9%
2026,1,38227,3.4%
2026,1,38617,12.2%
2026,1,38646,5.7%
2026,1,38692,8.0%
2026,1,38730,4.5%
2026,1,38746,3.0%
2026,1,43142,7.7%
2026,1,38115,5.9%
2026,1,38119,9.3%
2026,1,38142,15.8%
2026,1,38149,8.8%
2026,1,38266,17.6%
2026,1,38270,16.3%
2026,1,38363,2.5%
2026,1,38394,9.6%
2026,1,38507,3.8%
2026,1,38535,11.0%
2026,1,38925,9.9%
2026,1,43043,9.7%
2026,1,43130,5.7%
2026,1,38108,7.3%
2026,1,38110,1.0%
2026,1,38128,0.6%
2026,1,38187,2.2%
2026,1,38191,2.8%
2026,1,38202,2.9%
2026,1,38220,2.3%
2026,1,38382,0.9%
2026,1,38415,0.7%
2026,1,38481,1.2%
2026,1,38522,3.7%
2026,1,38541,4.0%
2026,1,38597,9.5%
2026,1,38627,1.2%
2026,1,38136,2.8%
2026,1,38186,8.4%
2026,1,38374,10.0%
2026,1,38442,8.3%
2026,1,38460,4.7%
2026,1,38606,7.5%
2026,1,38661,12.4%
2026,1,38674,7.4%
2026,1,38694,2.4%
2026,1,38792,5.9%
2026,1,38845,2.8%
2026,1,38138,0.2%
2026,1,38141,3.5%
2026,1,38319,0.3%
2026,1,38441,2.4%
2026,1,38547,5.7%
2026,1,38668,3.6%
2026,1,38841,0.9%
2026,1,38896,11.3%
2026,1,38987,1.8%
2026,1,43059,2.9%
2026,1,43068,0.2%
2026,1,38158,2.6%
2026,1,38166,3.9%
2026,1,38390,4.0%
2026,1,38400,0.2%
2026,1,38445,2.6%
2026,1,38512,12.7%
2026,1,38532,8.2%
2026,1,38751,6.3%
2026,1,38755,0.3%
2026,1,38777,0.9%
2026,1,38798,5.1%
2026,1,38810,3.5%
2026,1,38184,0.2%
2026,1,38540,0.6%
2026,1,38564,0.4%
2026,1,38765,0.4%
2026,1,38788,0.4%
2026,1,38865,0.3%
2026,1,38968,1.5%
2026,1,38196,1.1%
2026,1,38254,1.7%
2026,1,38263,0.6%
2026,1,38336,2.9%
2026,1,38830,0.1%
2026,1,38883,1.6%
2026,1,38898,0.1%
2026,1,38935,0.9%
2026,1,38958,0.6%
2026,1,38963,0.4%
2026,1,43005,0.1%
2026,1,38205,9.3%
2026,1,38207,1.2%
2026,1,38371,9.2%
2026,1,38411,20.5%
2026,1,38527,7.2%
2026,1,38546,17.3%
2026,1,38651,11.6%
2026,1,38677,17.7%
2026,1,38719,12.3%
2026,1,38837,17.9%
2026,1,43111,18.8%
2026,1,43132,14.4%
2026,1,43195,2.1%
2026,1,38248,0.3%
2026,1,38680,0.0%
2026,1,38875,0.3%
2026,1,43007,0.1%
2026,1,43019,0.2%
2026,1,43154,0.1%
2026,1,38258,1.9%
2026,1,38313,0.5%
2026,1,38322,0.3%
2026,1,38380,0.1%
2026,1,38545,0.3%
2026,1,38582,0.0%
2026,1,38836,1.1%
2026,1,38874,0.9%
2026,1,43143,0.2%
2026,1,38122,0.2%
2026,1,38148,1.5%
2026,1,38150,2.1%
2026,1,38189,3.0%
2026,1,38225,0.1%
2026,1,38233,5.7%
2026,1,38361,9.0%
2026,1,38438,4.4%
2026,1,38485,1.0%
2026,1,38508,1.4%
2026,1,38534,1.2%
2026,1,38578,0.2%
2026,1,38607,2.8%
2026,1,38633,0.5%
2026,1,38749,14.7%
2026,1,38769,3.9%
2026,1,38829,0.6%
2026,1,38847,4.1%
2026,1,38957,2.5%
2026,1,43011,1.3%
2026,1,43147,9.7%
2026,1,38243,21.9%
2026,1,38252,5.6%
2026,1,38271,2.0%
2026,1,38274,4.2%
2026,1,38277,2.4%
2026,1,38307,2.8%
2026,1,38326,0.5%
2026,1,38383,9.3%
2026,1,38446,2.5%
2026,1,38509,2.3%
2026,1,38539,0.9%
2026,1,38664,2.8%
2026,1,38740,1.0%
2026,1,38763,2.5%
2026,1,38778,1.1%
2026,1,38779,15.6%
2026,1,38922,3.6%
2026,1,38933,1.0%
2026,1,38948,0.4%
2026,1,38952,1.2%
2026,1,43016,6.4%
2026,1,43060,1.9%
2026,1,43106,9.9%
2026,1,43156,1.9%
2026,1,38245,6.1%
2026,1,38247,1.6%
2026,1,38251,1.2%
2026,1,38453,6.1%
2026,1,38552,0.7%
2026,1,38673,6.5%
2026,1,38884,10.5%
2026,1,38904,1.9%
2026,1,43027,13.5%
2026,1,43032,9.8%
2026,1,43089,2.1%
2026,1,38268,13.7%
2026,1,38286,5.0%
2026,1,38601,4.6%
2026,1,38642,1.1%
2026,1,38729,7.5%
2026,1,38809,0.1%
2026,1,38812,2.8%
2026,1,38899,0.5%
2026,1,38997,4.4%
2026,1,38262,9.7%
2026,1,38355,1.5%
2026,1,38392,5.1%
2026,1,38473,1.8%
2026,1,38506,2.9%
2026,1,38563,6.8%
2026,1,38630,2.1%
2026,1,38734,16.0%
2026,1,38891,5.0%
2026,1,38912,3.0%
2026,1,38974,0.9%
2026,1,43063,8.8%
2026,1,43185,9.4%
2026,1,38265,6.1%
2026,1,38412,0.9%
2026,1,38450,3.1%
2026,1,38737,4.2%
2026,1,38848,4.6%
2026,1,38934,2.3%
2026,1,38999,3.0%
2026,1,43076,2.6%
2026,1,38683,0.4%
2026,1,38743,0.1%
2026,1,38873,1.4%
2026,1,43003,0.1%
2026,1,43042,1.3%
2026,1,43096,0.0%
2026,1,38283,0.0%
2026,1,38342,3.1%
2026,1,38353,0.8%
2026,1,38524,1.2%
2026,1,38591,0.6%
2026,1,38666,0.0%
2026,1,38685,10.5%
2026,1,38693,0.1%
2026,1,38797,1.1%
2026,1,38985,0.2%
2026,1,43110,7.8%
2026,1,43168,0.1%
2026,1,38305,0.8%
2026,1,38860,1.9%
2026,1,38895,2.0%
2026,1,43036,4.0%
2026,1,43040,2.7%
2026,1,43125,5.3%
2026,1,43149,4.2%
2026,1,43155,4.8%
2026,1,38306,3.3%
2026,1,38315,5.3%
2026,1,38520,8.6%
2026,1,38631,2.1%
2026,1,38665,0.1%
2026,1,38669,1.5%
2026,1,38735,7.4%
2026,1,38818,3.9%
2026,1,38953,0.8%
2026,1,43050,1.1%
2026,1,43071,2.5%
2026,1,38331,3.6%
2026,1,38459,3.6%
2026,1,38565,5.9%
2026,1,38650,2.0%
2026,1,38820,6.6%
2026,1,38947,5.9%
2026,1,38959,3.0%
2026,1,43031,2.5%
2026,1,43056,3.5%
2026,1,38457,5.7%
2026,1,38492,2.7%
2026,1,38618,0.4%
2026,1,38776,6.6%
2026,1,38986,6.9%
2026,1,38320,13.6%
2026,1,38323,2.4%
2026,1,38334,5.2%
2026,1,38350,1.8%
2026,1,38362,1.5%
2026,1,38373,3.4%
2026,1,38388,11.7%
2026,1,38518,2.9%
2026,1,38573,12.3%
2026,1,38574,1.7%
2026,1,38598,3.7%
2026,1,38609,5.4%
2026,1,38705,3.4%
2026,1,38759,15.2%
2026,1,38786,6.8%
2026,1,38826,3.5%
2026,1,38955,1.8%
2026,1,38988,8.1%
2026,1,43054,7.4%
2026,1,43088,7.4%
2026,1,43098,3.6%
2026,1,43133,5.1%
2026,1,43134,4.2%
2026,1,38250,2.2%
2026,1,38295,1.2%
2026,1,38467,4.3%
2026,1,38728,1.4%
2026,1,38757,1.7%
2026,1,38864,1.0%
2026,1,38871,0.1%
2026,1,38916,0.3%
2026,1,38944,1.2%
2026,1,38976,2.5%
2026,1,43033,5.2%
2026,1,38351,2.1%
2026,1,38375,2.9%
2026,1,38429,1.7%
2026,1,38511,0.8%
2026,1,38567,2.7%
2026,1,38678,3.8%
2026,1,38684,6.3%
2026,1,38716,2.4%
2026,1,38718,5.3%
2026,1,38996,2.7%
2026,1,43034,5.7%
2026,1,38357,0.2%
2026,1,38358,4.4%
2026,1,38790,2.1%
2026,1,38793,3.2%
2026,1,38893,12.0%
2026,1,38908,2.2%
2026,1,38939,2.4%
2026,1,43064,9.7%
2026,1,43170,2.7%
2026,1,38502,0.1%
2026,1,38594,0.6%
2026,1,38657,0.4%
2026,1,38659,0.0%
2026,1,38800,0.6%
2026,1,38801,0.7%
2026,1,38855,0.4%
2026,1,43026,0.7%
2026,1,43163,1.3%
2026,1,43169,0.4%
2026,1,38193,0.1%
2026,1,38372,2.5%
2026,1,38416,1.9%
2026,1,38499,0.8%
2026,1,38530,1.8%
2026,1,38549,1.8%
2026,1,38587,6.0%
2026,1,38715,2.4%
2026,1,43105,1.2%
2026,1,38117,2.9%
2026,1,38176,10.4%
2026,1,38197,10.8%
2026,1,38427,3.2%
2026,1,38458,4.1%
2026,1,38475,9.6%
2026,1,38561,3.0%
2026,1,38590,3.8%
2026,1,38656,10.5%
2026,1,38695,5.6%
2026,1,38770,12.5%
2026,1,38859,2.8%
2026,1,43152,7.0%
2026,1,38126,4.9%
2026,1,38185,6.2%
2026,1,38292,10.5%
2026,1,38439,2.2%
2026,1,38452,9.6%
2026,1,38466,0.6%
2026,1,38568,0.6%
2026,1,38799,2.0%
2026,1,38815,1.5%
2026,1,38918,4.2%
2026,1,43107,3.0%
2026,1,38199,0.6%
2026,1,38244,0.2%
2026,1,38276,0.3%
2026,1,38510,1.4%
2026,1,38603,0.2%
2026,1,38739,0.2%
2026,1,38970,0.2%
2026,1,38333,10.3%
2026,1,38339,8.7%
2026,1,38368,3.8%
2026,1,38401,9.6%
2026,1,38456,12.7%
2026,1,38515,11.9%
2026,1,38604,5.8%
2026,1,38862,6.2%
2026,1,38894,2.5%
2026,1,43193,2.7%
2026,1,38377,6.8%
2026,1,38480,2.2%
2026,1,38559,3.8%
2026,1,38629,1.5%
2026,1,38846,6.5%
2026,1,38882,16.6%
2026,1,43055,10.1%
2026,1,43135,6.8%
2026,1,38154,1.2%
2026,1,38221,3.1%
2026,1,38228,10.3%
2026,1,38241,1.3%
2026,1,38314,4.1%
2026,1,38324,2.5%
2026,1,38384,0.5%
2026,1,38592,7.6%
2026,1,38679,4.0%
2026,1,43151,11.4%
2026,1,38348,2.3%
2026,1,38396,0.8%
2026,1,38410,4.1%
2026,1,38451,1.1%
2026,1,38536,4.0%
2026,1,38550,0.7%
2026,1,38649,0.8%
2026,1,38682,1.1%
2026,1,43044,0.5%
2026,1,43157,0.4%
2026,1,38255,8.4%
2026,1,38302,16.1%
2026,1,38311,17.2%
2026,1,38434,6.7%
2026,1,38714,3.5%
2026,1,38745,4.9%
2026,1,38814,16.8%
2026,1,38980,3.0%
2026,1,43092,10.3%
2026,1,43145,21.6%
2026,1,43171,18.1%
2026,1,43174,15.7%
2026,1,38300,1.3%
2026,1,38316,0.6%
2026,1,38329,0.0%
2026,1,38655,0.7%
2026,1,38758,0.1%
2026,1,38867,0.4%
2026,1,43000,0.1%
2026,1,38318,0.1%
2026,1,38476,0.2%
2026,1,38621,0.1%
2026,1,38707,0.2%
2026,1,38892,0.1%
2026,1,38971,0.1%
2026,1,38973,0.3%
2026,1,38321,0.9%
2026,1,38325,0.3%
2026,1,38341,0.7%
2026,1,38490,0.1%
2026,1,38708,0.2%
2026,1,38909,0.5%
2026,1,38932,0.9%
2026,1,38960,0.4%
2026,1,38170,6.0%
2026,1,38218,0.9%
2026,1,38237,1.4%
2026,1,38249,14.2%
2026,1,38287,2.5%
2026,1,38290,0.7%
2026,1,38304,7.5%
2026,1,38330,11.5%
2026,1,38905,5.5%
2026,1,38978,6.0%
2026,1,38431,5.6%
2026,1,38529,5.4%
2026,1,38811,12.3%
2026,1,38903,4.3%
2026,1,38924,10.5%
2026,1,38930,8.2%
2026,1,38937,7.4%
2026,1,38965,0.1%
2026,1,38992,11.7%
2026,1,38995,6.6%
2026,1,38123,5.9%
2026,1,38155,2.2%
2026,1,38203,0.5%
2026,1,38234,0.4%
2026,1,38376,2.9%
2026,1,38463,0.9%
2026,1,38465,0.1%
2026,1,38497,6.2%
2026,1,38632,0.1%
2026,1,38762,0.0%
2026,1,38785,3.0%
2026,1,43123,5.4%
2026,1,38201,0.2%
2026,1,38223,0.2%
2026,1,38224,0.3%
2026,1,38584,0.2%
2026,1,38907,0.3%
2026,1,38278,0.4%
2026,1,38282,0.8%
2026,1,38310,1.2%
2026,1,38443,0.1%
2026,1,38531,1.6%
2026,1,38537,2.3%
2026,1,38643,0.2%
2026,1,38870,0.9%
2026,1,38920,0.1%
2026,1,43018,2.0%
2026,1,38168,
2026,1,38182,
2026,1,38297,
2026,1,38298,
2026,1,38299,
2026,1,38395,
2026,1,38478,
2026,1,38576,
2026,1,38641,
2026,1,38766,
2026,1,38767,
2026,1,38789,
2026,1,38803,
2026,1,38833,
2026,1,38877,
2026,1,38910,
2026,1,38911,
2026,1,38929,
2026,1,38943,
2026,1,43082,
2026,1,43083,
2026,1,43162,
2026,1,43176,
2026,2,38209,0.30%
2026,2,38317,3.70%
2026,2,38489,0.10%
2026,2,38589,6.00%
2026,2,38843,1.90%
2026,2,38872,5.80%
2026,2,38950,0.50%
2026,2,38989,6.10%
2026,2,43029,0.30%
2026,2,38101,0.70%
2026,2,38240,1.40%
2026,2,38272,1.60%
2026,2,38285,0.50%
2026,2,38291,0.70%
2026,2,38389,4.20%
2026,2,38404,5.30%
2026,2,38422,3.80%
2026,2,38433,2.30%
2026,2,38555,2.90%
2026,2,38613,12.10%
2026,2,38654,5.00%
2026,2,38681,3.00%
2026,2,38183,0.70%
2026,2,38387,2.80%
2026,2,38577,0.30%
2026,2,38721,0.20%
2026,2,38732,0.20%
2026,2,38736,0.30%
2026,2,38813,0.10%
2026,2,38821,0.10%
2026,2,38857,3.30%
2026,2,43008,5.90%
2026,2,43124,0.30%
2026,2,38344,5.80%
2026,2,38635,12.20%
2026,2,38858,1.60%
2026,2,38109,6.50%
2026,2,38173,0.30%
2026,2,38312,4.00%
2026,2,38378,3.20%
2026,2,38423,1.00%
2026,2,38432,4.60%
2026,2,38440,0.50%
2026,2,38483,4.10%
2026,2,38498,1.60%
2026,2,38504,5.10%
2026,2,38554,0.30%
2026,2,38556,1.20%
2026,2,38558,10.60%
2026,2,38602,5.10%
2026,2,38658,1.10%
2026,2,38752,2.20%
2026,2,38850,3.60%
2026,2,38113,7.50%
2026,2,38139,6.40%
2026,2,38152,15.10%
2026,2,38208,10.90%
2026,2,38239,4.30%
2026,2,38365,5.00%
2026,2,38417,8.00%
2026,2,38430,1.40%
2026,2,38484,14.00%
2026,2,38585,9.50%
2026,2,38620,1.90%
2026,2,38663,8.10%
2026,2,43025,5.30%
2026,2,38111,4.50%
2026,2,38118,3.60%
2026,2,38194,6.00%
2026,2,38219,1.20%
2026,2,38349,9.90%
2026,2,38399,3.70%
2026,2,38405,1.10%
2026,2,38470,6.30%
2026,2,38557,3.90%
2026,2,38581,6.30%
2026,2,38600,0.20%
2026,2,38612,5.10%
2026,2,38676,37.50%
2026,2,38982,5.60%
2026,2,38107,4.30%
2026,2,38116,5.20%
2026,2,38124,2.90%
2026,2,38129,4.40%
2026,2,38169,5.10%
2026,2,38398,6.10%
2026,2,38428,9.40%
2026,2,38447,1.50%
2026,2,38544,5.20%
2026,2,38571,5.00%
2026,2,38580,4.60%
2026,2,38615,6.20%
2026,2,38691,6.40%
2026,2,38226,9.30%
2026,2,38279,0.30%
2026,2,38289,6.20%
2026,2,38418,1.50%
2026,2,38419,1.20%
2026,2,38468,1.30%
2026,2,38477,1.30%
2026,2,38496,4.40%
2026,2,38611,8.80%
2026,2,38645,0.30%
2026,2,38725,3.90%
2026,2,43070,10.70%
2026,2,38131,6.20%
2026,2,38172,4.60%
2026,2,38402,3.20%
2026,2,38406,0.10%
2026,2,38543,6.20%
2026,2,38560,2.80%
2026,2,38605,5.70%
2026,2,38625,11.10%
2026,2,38771,0.70%
2026,2,38784,3.40%
2026,2,38791,0.10%
2026,2,38806,4.90%
2026,2,38866,1.00%
2026,2,38133,0.10%
2026,2,38190,0.30%
2026,2,38192,0.10%
2026,2,38280,0.80%
2026,2,38638,0.10%
2026,2,38804,0.50%
2026,2,38949,0.20%
2026,2,43069,1.50%
2026,2,43074,0.50%
2026,2,43166,0.40%
2026,2,38146,2.20%
2026,2,38157,0.40%
2026,2,38519,0.50%
2026,2,38698,0.60%
2026,2,38761,1.30%
2026,2,38768,9.90%
2026,2,38819,1.50%
2026,2,38831,0.80%
2026,2,38840,4.80%
2026,2,38897,7.40%
2026,2,43009,6.20%
2026,2,38114,6.80%
2026,2,38360,11.50%
2026,2,38367,3.60%
2026,2,38379,0.60%
2026,2,38393,6.10%
2026,2,38469,5.10%
2026,2,38471,5.20%
2026,2,38472,10.90%
2026,2,38494,7.30%
2026,2,38637,1.40%
2026,2,38817,4.80%
2026,2,38964,6.60%
2026,2,38164,0.60%
2026,2,38222,0.40%
2026,2,38264,0.50%
2026,2,38599,1.30%
2026,2,38690,2.40%
2026,2,38731,0.30%
2026,2,38756,0.00%
2026,2,38787,0.60%
2026,2,38942,2.10%
2026,2,43100,4.20%
2026,2,38204,0.90%
2026,2,38359,1.00%
2026,2,38876,1.30%
2026,2,38917,4.60%
2026,2,43021,3.50%
2026,2,38217,0.50%
2026,2,38257,1.30%
2026,2,38516,0.40%
2026,2,38610,0.10%
2026,2,38993,1.20%
2026,2,43086,1.60%
2026,2,43146,1.50%
2026,2,38211,1.50%
2026,2,38212,0.10%
2026,2,38214,1.40%
2026,2,38354,12.60%
2026,2,38370,3.60%
2026,2,38639,2.30%
2026,2,38711,0.50%
2026,2,38723,2.50%
2026,2,38889,0.40%
2026,2,38972,1.50%
2026,2,38990,9.00%
2026,2,43001,3.40%
2026,2,38134,2.90%
2026,2,38260,4.30%
2026,2,38340,7.80%
2026,2,38464,8.10%
2026,2,38482,6.20%
2026,2,38501,5.00%
2026,2,38513,6.30%
2026,2,38526,7.00%
2026,2,38569,5.40%
2026,2,38570,3.60%
2026,2,38579,7.50%
2026,2,38619,9.00%
2026,2,38888,1.90%
2026,2,38941,0.60%
2026,2,38296,0.80%
2026,2,38328,4.20%
2026,2,38435,0.60%
2026,2,38488,2.60%
2026,2,38712,1.30%
2026,2,38744,0.60%
2026,2,38805,0.50%
2026,2,38828,2.50%
2026,2,38928,0.80%
2026,2,38975,9.30%
2026,2,43186,1.00%
2026,2,38408,1.80%
2026,2,38525,0.70%
2026,2,38738,0.20%
2026,2,38781,1.00%
2026,2,38839,2.20%
2026,2,38946,0.50%
2026,2,38966,4.60%
2026,2,38967,0.10%
2026,2,38267,3.40%
2026,2,38503,2.20%
2026,2,38760,0.30%
2026,2,38825,0.30%
2026,2,38842,3.10%
2026,2,38919,1.10%
2026,2,38923,1.20%
2026,2,38979,1.30%
2026,2,38991,1.70%
2026,2,43190,1.20%
2026,2,38273,1.10%
2026,2,38335,0.40%
2026,2,38454,0.10%
2026,2,38593,0.10%
2026,2,38887,0.10%
2026,2,38921,0.20%
2026,2,38983,1.20%
2026,2,43114,0.20%
2026,2,43115,2.80%
2026,2,43138,0.10%
2026,2,38436,0.20%
2026,2,38491,1.10%
2026,2,38782,6.10%
2026,2,38890,0.50%
2026,2,43010,4.20%
2026,2,38236,3.10%
2026,2,38309,5.30%
2026,2,38397,1.00%
2026,2,38413,0.90%
2026,2,38566,2.20%
2026,2,38614,1.00%
2026,2,38636,2.50%
2026,2,38648,2.30%
2026,2,38696,0.30%
2026,2,38838,3.50%
2026,2,43118,1.90%
2026,2,43137,1.80%
